,Ticker,Year,Unnamed: 0,index,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred,Weak Modal_Pred,Strong Modal_Pred
0,ACES,2020,21957,30445,0.5,0.2361111111111111,0.19444444444444445,0.0,0.0,0.0,0.06944444444444445,10.0,5.0
1,ACES,2021,13650,19068,0.5932203389830508,0.1694915254237288,0.13559322033898305,0.0,0.0,0.0,0.1016949152542373,5.0,2.0
2,ACES,2022,6842,9497,0.5714285714285714,0.22857142857142856,0.08571428571428572,0.0,0.0,0.0,0.11428571428571428,4.0,3.0
3,ACES,2023,8911,11481,0.5476190476190477,0.10317460317460317,0.23015873015873015,0.0,0.0,0.0,0.11904761904761904,15.0,4.0
4,ADRO,2019,128407,169495,0.45714285714285713,0.22142857142857142,0.2357142857142857,0.0,0.0,0.0,0.08571428571428572,26.0,12.0
5,ADRO,2020,65661,87243,0.37209302325581395,0.27906976744186046,0.29069767441860467,0.0,0.0,0.0,0.05813953488372093,16.0,5.0
6,ADRO,2021,89324,119597,0.5112781954887218,0.13533834586466165,0.2781954887218045,0.0,0.0,0.0,0.07518796992481203,23.0,11.0
7,ADRO,2022,71446,96997,0.6290322580645161,0.06451612903225806,0.18548387096774194,0.0,0.0,0.0,0.12096774193548387,23.0,11.0
8,ADRO,2023,47430,65569,0.6060606060606061,0.16161616161616163,0.1111111111111111,0.0,0.0,0.0,0.12121212121212122,16.0,8.0
9,AKRA,2019,708249,1012218,0.49606299212598426,0.14960629921259844,0.24015748031496062,0.0,0.0,0.0,0.1141732283464567,48.0,13.0
10,AKRA,2020,608456,852938,0.5992217898832685,0.11284046692607004,0.19844357976653695,0.0,0.0,0.0,0.08949416342412451,46.0,14.0
11,AKRA,2021,495864,676187,0.6680497925311203,0.07883817427385892,0.16182572614107885,0.0,0.0,0.0,0.0912863070539419,29.0,21.0
12,AKRA,2022,407376,544967,0.6867469879518072,0.0642570281124498,0.1606425702811245,0.0,0.0,0.0,0.08835341365461848,28.0,26.0
13,AKRA,2023,353457,465450,0.640926640926641,0.12355212355212356,0.15057915057915058,0.0,0.0,0.0,0.08494208494208494,38.0,25.0
14,AMRT,2019,261711,369766,0.782051282051282,0.02564102564102564,0.1282051282051282,0.0,0.0,0.0,0.0641025641025641,15.0,4.0
15,AMRT,2020,612117,867029,0.5280898876404494,0.12359550561797752,0.1853932584269663,0.0,0.0,0.0,0.16292134831460675,26.0,8.0
16,AMRT,2021,584083,830539,0.6358695652173914,0.059782608695652176,0.1793478260869565,0.0,0.0,0.0,0.125,40.0,11.0
17,AMRT,2022,543279,773913,0.6778523489932886,0.06040268456375839,0.12751677852348994,0.0,0.0,0.0,0.1342281879194631,17.0,19.0
18,AMRT,2023,323136,461005,0.7216494845360825,0.07216494845360824,0.17525773195876287,0.0,0.0,0.0,0.030927835051546393,20.0,15.0
19,ANTM,2019,3545830,4977418,0.5,0.12162162162162163,0.21621621621621623,0.006756756756756757,0.0,0.0,0.1554054054054054,65.0,39.0
20,ANTM,2020,3413166,4794830,0.5425742574257426,0.100990099009901,0.2316831683168317,0.007920792079207921,0.0,0.0,0.11683168316831684,79.0,43.0
21,ANTM,2021,2974907,4187139,0.6061269146608315,0.09190371991247265,0.17943107221006566,0.002188183807439825,0.0,0.0,0.12035010940919037,67.0,49.0
22,ANTM,2022,2812612,3970737,0.5736434108527132,0.0872093023255814,0.20155038759689922,0.015503875968992248,0.0,0.0,0.12209302325581395,68.0,44.0
23,ANTM,2023,2404535,3394796,0.6271844660194175,0.062135922330097085,0.15922330097087378,0.003883495145631068,0.0,0.0,0.14757281553398058,63.0,43.0
24,ARTO,2019,1470700,2043044,0.43317972350230416,0.17050691244239632,0.22119815668202766,0.009216589861751152,0.0,0.0,0.16589861751152074,34.0,29.0
25,ARTO,2020,1972740,2749190,0.5126050420168067,0.17647058823529413,0.19327731092436976,0.0,0.0,0.0,0.11764705882352941,24.0,22.0
26,ARTO,2021,1952555,2727922,0.7130801687763713,0.05485232067510549,0.14767932489451477,0.0,0.0,0.0,0.08438818565400844,40.0,13.0
27,ARTO,2022,2493637,3487748,0.7121212121212122,0.04242424242424243,0.12727272727272726,0.0,0.0,0.0,0.11818181818181818,34.0,23.0
28,ARTO,2023,1992872,2797635,0.7752808988764045,0.0449438202247191,0.0749063670411985,0.0,0.0,0.0,0.10486891385767791,30.0,22.0
29,ASII,2019,8535465,11667031,0.6742627345844504,0.13002680965147453,0.13941018766756033,0.0013404825737265416,0.0,0.0,0.054959785522788206,59.0,27.0
30,ASII,2020,7617945,10454361,0.6114130434782609,0.16576086956521738,0.16168478260869565,0.0,0.0,0.0,0.06114130434782609,81.0,22.0
31,ASII,2021,7412964,10194024,0.7394270122783083,0.06548431105047749,0.1364256480218281,0.0,0.0,0.0,0.058663028649386086,76.0,36.0
32,ASII,2022,7041533,9702772,0.7480106100795756,0.0649867374005305,0.13527851458885942,0.0,0.0,0.0,0.05172413793103448,89.0,35.0
33,ASII,2023,8975718,12402930,0.7105022831050228,0.08584474885844749,0.14977168949771688,0.0,0.0,0.0,0.053881278538812784,114.0,55.0
34,BBCA,2019,26078550,35066963,0.6262626262626263,0.06868686868686869,0.16363636363636364,0.00101010101010101,0.0,0.0,0.1404040404040404,102.0,61.0
35,BBCA,2020,28432650,38370403,0.47158671586715867,0.1077490774907749,0.2118081180811808,0.0036900369003690036,0.0,0.0,0.2051660516605166,180.0,121.0
